title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,cluster
positions,Ariana Grande,0.736,0.802,0.0,-4.7589999999999995,1.0,0.0864,0.46799999999999997,0.0,0.094,0.675,144.005,spotify:track:7igeByaBM0MgGsgXtNxDJ7,172325.0,4.0,54
Don't Start Now,Dua Lipa,0.794,0.7929999999999999,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,183290.0,4.0,16
At My Worst,Pink Sweat$,0.813,0.415,0.0,-5.926,1.0,0.0349,0.777,0.0,0.131,0.667,91.921,spotify:track:2MJz8BxxMsERULatmBikDH,170345.0,4.0,28
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,0.857,0.621,9.0,-6.376,0.0,0.0825,0.14800000000000002,0.0,0.0865,0.6679999999999999,97.98899999999999,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,204467.0,4.0,78
South of the Border (feat. Camila Cabello & Cardi B),Camila Cabello,0.857,0.621,9.0,-6.376,0.0,0.0825,0.14800000000000002,0.0,0.0865,0.6679999999999999,97.98899999999999,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,204467.0,4.0,78
South of the Border (feat. Camila Cabello & Cardi B),Cardi B,0.857,0.621,9.0,-6.376,0.0,0.0825,0.14800000000000002,0.0,0.0865,0.6679999999999999,97.98899999999999,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,204467.0,4.0,78
drivers license,Olivia Rodrigo,0.585,0.436,10.0,-8.761000000000001,1.0,0.0601,0.721,1.31e-05,0.105,0.132,143.874,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,242014.0,4.0,85
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.09100000000001,spotify:track:37BZB0z9T8Xu7U3e65qxFy,191014.0,4.0,22
Save Your Tears (with Ariana Grande) (Remix),Ariana Grande,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.09100000000001,spotify:track:37BZB0z9T8Xu7U3e65qxFy,191014.0,4.0,22
Levitating (feat. DaBaby),Dua Lipa,0.7020000000000001,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,spotify:track:5nujrmhLynf4yMoMtj8AQF,203064.0,4.0,16
Levitating (feat. DaBaby),DaBaby,0.7020000000000001,0.825,6.0,-3.787,0.0,0.0601,0.00883,0.0,0.0674,0.915,102.977,spotify:track:5nujrmhLynf4yMoMtj8AQF,203064.0,4.0,16
Anyone,Justin Bieber,0.6859999999999999,0.5379999999999999,2.0,-8.026,1.0,0.0345,0.18100000000000002,3.13e-06,0.113,0.584,115.884,spotify:track:31qCy5ZaophVA81wtlwLc4,190779.0,4.0,65
willow,Taylor Swift,0.392,0.574,7.0,-9.195,1.0,0.17,0.833,0.00179,0.145,0.529,81.112,spotify:track:0lx2cLdOt3piJbcaXIV74f,214707.0,4.0,96
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,0.652,0.38299999999999995,2.0,-7.0760000000000005,0.0,0.0516,0.0676,0.0,0.0828,0.5489999999999999,145.765,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,178994.0,4.0,65
Monster (Shawn Mendes & Justin Bieber),Justin Bieber,0.652,0.38299999999999995,2.0,-7.0760000000000005,0.0,0.0516,0.0676,0.0,0.0828,0.5489999999999999,145.765,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,178994.0,4.0,65
Leave Before You Love Me (with Jonas Brothers),Marshmello,0.721,0.738,7.0,-4.77,1.0,0.0403,0.0022600000000000003,4.41e-06,0.11800000000000001,0.637,119.976,spotify:track:4qu63nuBpdn0qHUHuObEj1,154983.0,4.0,62
Leave Before You Love Me (with Jonas Brothers),Jonas Brothers,0.721,0.738,7.0,-4.77,1.0,0.0403,0.0022600000000000003,4.41e-06,0.11800000000000001,0.637,119.976,spotify:track:4qu63nuBpdn0qHUHuObEj1,154983.0,4.0,62
34+35,Ariana Grande,0.83,0.585,0.0,-6.476,1.0,0.094,0.237,0.0,0.248,0.485,109.978,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,173711.0,4.0,42
deja vu,Olivia Rodrigo,0.442,0.612,2.0,-7.222,1.0,0.11199999999999999,0.584,5.7000000000000005e-06,0.37,0.17800000000000002,180.917,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,215507.0,4.0,60
